gene	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3
ENSG00000010361.14_FUZ	1662.00	1898.00	2191.00	1342.00	1501.00	1585.00
ENSG00000010379.16_SLC6A13	8.00	13.00	5.00	4.00	8.00	9.00
ENSG00000010404.18_IDS	43351.03	50613.22	54160.79	39075.07	42723.63	45548.30
ENSG00000010438.17_PRSS3	9.00	6.00	5.00	4.00	1.00	2.00
ENSG00000010539.12_ZNF200	1313.00	1491.00	1488.00	1207.00	1300.00	1282.00
ENSG00000010610.10_CD4	8.00	14.00	7.00	4.00	8.00	3.00
ENSG00000010626.15_LRRC23	283.44	324.26	282.30	236.30	299.47	360.99
ENSG00000010671.17_BTK	7.00	6.00	8.00	6.00	5.00	6.00
ENSG00000010704.19_HFE	794.00	992.00	991.00	845.00	864.00	1080.00
ENSG00000010803.16_SCMH1	3950.00	4810.00	5345.00	3112.00	3224.00	3496.00
ENSG00000010810.17_FYN	34216.00	38075.00	41582.00	21188.00	22757.00	26072.00
ENSG00000010818.10_HIVEP2	16257.00	16580.00	17988.00	15585.00	16028.00	16843.00
ENSG00000010932.17_FMO1	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000011007.13_ELOA	10967.00	12188.00	13743.00	9854.00	10314.00	11194.00
ENSG00000011009.11_LYPLA2	1111.00	1287.00	1513.00	1117.00	1137.00	1531.00
ENSG00000011021.23_CLCN6	2344.00	2147.00	2615.00	2531.00	2795.73	2852.83
ENSG00000011028.14_MRC2	26135.00	27227.00	31334.00	27371.00	27839.00	30975.00
ENSG00000011052.21_NME1-NME2	85.77	63.00	122.06	45.58	46.95	44.06
ENSG00000011083.9_SLC6A7	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000011105.14_TSPAN9	1120.00	1007.00	1349.00	734.00	739.00	922.00
ENSG00000011114.15_BTBD7	5855.00	6443.00	7028.00	4623.00	5179.00	5340.00
ENSG00000011132.12_APBA3	813.00	965.00	1041.00	1107.00	1200.00	1352.00
ENSG00000011143.19_MKS1	3133.00	3219.00	3721.00	2464.00	2566.00	2815.00
ENSG00000011198.10_ABHD5	3690.00	4158.00	4618.00	2217.00	2284.00	2598.00
ENSG00000011201.12_ANOS1	0.00	0.00	0.00	0.00	0.00	2.00
ENSG00000011243.19_AKAP8L	4727.00	4936.00	5536.00	6333.00	6938.00	7156.00
ENSG00000011258.16_MBTD1	2410.00	2681.00	2753.00	2001.00	2172.00	2445.00
ENSG00000011260.14_UTP18	1390.00	1684.00	1865.00	1436.00	1628.00	1824.00
ENSG00000011275.19_RNF216	8880.00	9803.00	10714.00	6405.00	6862.00	7196.00
ENSG00000011295.16_TTC19	4137.00	4716.00	4972.00	3420.00	3779.00	4353.00
ENSG00000011304.22_PTBP1	35880.00	41397.00	46128.00	31230.00	36187.00	37606.00
ENSG00000011332.22_DPF1	665.00	786.00	825.00	416.00	451.00	557.00
ENSG00000011347.10_SYT7	146.00	82.00	125.00	59.00	53.00	37.00
ENSG00000011376.12_LARS2	4023.00	4004.00	4476.00	4207.00	4660.00	4560.00
ENSG00000011405.14_PIK3C2A	14260.00	14812.00	15921.00	11680.00	12548.00	12888.00
ENSG00000011422.12_PLAUR	162.00	156.00	198.00	144.00	137.00	137.00
ENSG00000011426.11_ANLN	23661.00	28481.00	30857.00	22658.00	24668.00	24364.00
ENSG00000011451.21_WIZ	13451.00	15310.00	16921.00	11105.00	12783.00	13567.00
ENSG00000011454.18_RABGAP1	4894.00	5453.00	5669.00	3579.00	3593.00	4055.00
ENSG00000011465.18_DCN	73.00	93.00	84.00	39.00	70.00	80.00
ENSG00000011478.13_QPCTL	1422.00	1624.00	1746.00	1408.00	1673.00	1836.00
ENSG00000011485.15_PPP5C	3291.00	3945.00	4276.00	2951.00	3284.00	3408.00
ENSG00000011523.14_CEP68	2486.00	2947.00	3138.00	1778.00	2071.00	2121.00
ENSG00000011566.15_MAP4K3	5925.00	7428.00	7685.00	5446.00	6129.00	6029.00
ENSG00000011590.14_ZBTB32	1.00	0.00	0.00	0.00	1.00	3.00
ENSG00000011600.12_TYROBP	3.00	0.00	0.00	0.00	0.00	0.00
ENSG00000011638.11_LDAF1	37.00	36.00	33.00	25.00	21.00	35.00
ENSG00000011677.13_GABRA3	325.00	398.00	451.00	255.00	294.00	271.00
ENSG00000012048.23_BRCA1	8866.00	10089.00	10824.00	6350.00	7790.00	7595.00
