Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
ANKRD13C,1009.6786496278169,0.3857230717034535,0.4061740990647403,0.9496496024527967,0.34229032559039707,0.6408016106834833,FALSE
UBE2R2,2829.3163845698964,0.38565341697645306,0.3789146115774681,1.0177844960133116,0.3087803815806359,0.6141404102567946,FALSE
PIGC,430.8725753941163,0.38532582690129996,0.3591107477811037,1.0729999847739886,0.2832711229623649,0.5895334114457247,FALSE
CEP41,635.463208165799,0.38520157997442217,0.5214044499725349,0.7387769321775308,0.46004246142753824,0.7292281122143285,FALSE
EFR3A,1831.974948880877,0.385062218116372,0.49812754596271624,0.7730193225355039,0.43951094529795587,0.7148889454939747,FALSE
MEMO1,703.5584714059055,0.38491756999805915,0.27004675821710716,1.425373785411637,0.1540491816133818,0.44420402666413267,FALSE
INPP5A,1455.8405607770908,0.3847465883462933,0.5908536388938979,0.651170718126666,0.5149362902484959,0.7666799194351653,FALSE
COMMD1,503.7742963209308,0.3847025213446347,0.345675994199755,1.112899153541821,0.265751743640714,0.5718869017332521,FALSE
PIPSL,75.01786694870526,0.38465196845788374,0.4289335306471393,0.8967635798431352,0.3698450858285801,0.6615004265004613,FALSE
TCOF1,2103.315507733637,0.3844031187595359,0.35487714830574085,1.0832005402285223,0.27871942001029365,0.5848429369067273,FALSE
SMARCA4,9054.073935945562,0.3843330435993179,0.4255471724781987,0.9031502697130663,0.36644614722311547,0.6595727885366761,FALSE
THUMPD3,1006.6269648073526,0.3842467165767608,0.4111336648580858,0.934602902706579,0.3499929825597329,0.6462500030006524,FALSE
MTMR12,1149.7512124125408,0.3837954712164113,0.3572979239415229,1.074160932654132,0.2827505587517722,0.5890711752381916,FALSE
HMGB1,5798.459875210378,0.3837152840994019,0.4792475939283924,0.8006618895132844,0.4233274111057139,0.7038416177339528,FALSE
TMEM39A,820.9624828373778,0.3836136713697471,0.5979473948758693,0.6415508699546776,0.5211648414035034,0.7720019993183581,FALSE
TMEM243,307.91921794281456,0.3835225218536031,0.34108163447651757,1.1244302920097782,0.26083052727739703,0.567663274483538,FALSE
MINOS1,782.5866542119514,0.3835067484623652,0.43158727298529576,0.8885960556937724,0.3742202116365138,0.6650746708999778,FALSE
NAA60,2111.0751960384287,0.3832446689090531,0.423889582560251,0.9041143842089568,0.3659347518535877,0.6591969599611693,FALSE
ICK,1510.6238813389823,0.3832172749828522,0.4180134518290231,0.9167582366215254,0.35926934168988306,0.6528405270064982,FALSE
LENG1,289.1816048955765,0.38311794480063605,0.3256670195879498,1.176410019305535,0.23943106989697502,0.5441986856624362,FALSE
ZFP64,888.5585989143124,0.38275743441067156,0.2937390151513565,1.3030527599932413,0.1925567498395929,0.48973178066188017,FALSE
UBTF,3838.6073131863855,0.382664914416032,0.3842426447325846,0.9958939218793618,0.3193016888437891,0.6205176629851189,FALSE
IFT74,306.00649158399324,0.38256973099353075,0.37808236526806976,1.0118687517263052,0.31160081191064787,0.6164574258338245,FALSE
PIGF,327.42257337053866,0.3824452094410568,0.3602399947796937,1.0616400593580477,0.288399120444845,0.5949590941367061,FALSE
USP5,3093.7276225599417,0.38209677294973504,0.4851951882777961,0.7875114638007651,0.43098252028946415,0.7081549368577732,FALSE
NAT14,1013.3713218060252,0.38153336864517645,0.492226076832875,0.7751181552592105,0.43826984451767553,0.7134710480643112,FALSE
CTTNBP2NL,2596.6285926803503,0.38133251733247187,0.47500663579497243,0.8027940845379407,0.4220937618219553,0.7034276917293648,FALSE
MZT2A,1240.2211846221035,0.3812291508433906,0.44746490893982666,0.8519755252912062,0.39422767625461547,0.6789710404321256,FALSE
CSNK1G2,2933.5547352420294,0.38102446253185013,0.360358972918059,1.057346954472784,0.2903532712269073,0.5961683330516659,FALSE
NOL9,1817.4230837605317,0.3807819813090193,0.3100567867143602,1.2281040042507267,0.21940792806396986,0.5236226086770404,FALSE
COX14,426.2228010195239,0.38065529810390286,0.4237307601821506,0.8983423765134947,0.36900304694966124,0.6612116763308458,FALSE
TRAPPC2,578.7993549100087,0.3806279419299226,0.34999636826454544,1.0875196900392528,0.27680720153050586,0.582726192817723,FALSE
THRAP3,5448.90395917157,0.3805679033249906,0.41035225056816554,0.9274176096221328,0.3537097511122095,0.6493765467032738,FALSE
GAR1,228.58473831925136,0.38054086243044605,0.5380230157928484,0.7072947648339328,0.47938331820557006,0.7421555551658187,FALSE
AIDA,2279.2106242842665,0.3803290923585206,0.5581032272912403,0.6814672873411819,0.4955758590446368,0.7523428633649765,FALSE
AS3MT,216.22943539850553,0.38030227488779533,0.7137399493117212,0.5328303050074906,0.5941510537193917,0.8119339700121452,FALSE
MCOLN1,674.3369931961507,0.3796501273142695,0.49357571934270905,0.7691831515128957,0.4417845910003841,0.7160969043100324,FALSE
ADPRHL2,892.3309962862295,0.37928081542454545,0.466061107885187,0.8138006132834845,0.4157591837144181,0.6977003839172113,FALSE
SLC5A6,881.4282350617449,0.3791406396080211,0.5231410955675436,0.724738780455969,0.46861229916810343,0.7342641287972045,FALSE
MRPL20,1324.4589403277923,0.37911930258726545,0.2992310669389348,1.2669784139246267,0.2051630084393254,0.5059700667698191,FALSE
ATPIF1,1505.0308359915223,0.3791024910142452,0.44660097195026405,0.8488617688374941,0.39595821445418006,0.6799569751644741,FALSE
PCIF1,1312.1337245567504,0.3789803099318692,0.32296650723073556,1.1734353298161533,0.240621276374097,0.5452775144739636,FALSE
DHX30,3379.6845462377987,0.3786044954525682,0.30104018456255965,1.257654342734067,0.20851679100816473,0.5098247241428584,FALSE
SS18L2,163.64006239665767,0.37860124658460576,0.39070094812092926,0.9690307853243847,0.33252982941444786,0.6308414223913277,FALSE
GALNT10,3759.97801076963,0.3785014769776663,0.5972548180077704,0.6337353263054664,0.5262535663781978,0.7749947835210149,FALSE
IPO7,4822.10396959577,0.37845763164004687,0.4549422903230323,0.831880525706508,0.40547638513216705,0.6888460917679433,FALSE
ATRX,4071.938115427496,0.3783013936960251,0.30575063899904686,1.2372873362897678,0.21598042758846703,0.5196431127525657,FALSE
ACYP1,160.10679773667977,0.378106886192632,0.45803889127511127,0.8254907899633575,0.4090930093977136,0.6925878708674712,FALSE
ATG5,495.0043628185729,0.3780787106050897,0.5404115972721255,0.6996125037166945,0.48416933174049687,0.7452399122915726,FALSE
KLF6,6364.116306122462,0.37803752014582737,0.6560850846299101,0.5762019728875164,0.5644786718566792,0.7950864890430218,FALSE
RNF7,1045.3485791707117,0.3778405614743816,0.48709280581781517,0.7757054856106895,0.43792290018695834,0.7134710480643112,FALSE
CLTCL1,748.9251042629462,0.3776816528344509,0.5262004710102455,0.717752403583647,0.4729099654975083,0.7369723661143127,FALSE
GMEB2,1088.6358255369273,0.37743336952056256,0.3973237237427905,0.9499391729372191,0.3421431608423186,0.6407855643198183,FALSE
CPD,4985.20151790317,0.37733631265578077,0.41051119845237843,0.9191864048492062,0.35799808087553225,0.6521032338081453,FALSE
FAM89B,1757.0928804338487,0.3771200844888718,0.41101882966247805,0.9175250798085252,0.3588675569133446,0.6528405270064982,FALSE
SRR,313.66072397122326,0.37684564510077717,0.4796868009574155,0.7856077014181424,0.43209735118566656,0.7091843894208748,FALSE
ATP5D,2899.359451706436,0.3767963413590591,0.36496828178188856,1.032408458947233,0.3018808109225042,0.6066857440910289,FALSE
TMEM159,392.69047152123653,0.3767379220400164,0.6155274228549353,0.6120570880378212,0.5404999876142863,0.7827569099616228,FALSE
HMGN4,841.2468690104739,0.3764597202620473,0.3881631677294165,0.9698491550967363,0.3321216870701441,0.6304331355930662,FALSE
MAP4K2,650.9563201869619,0.376458505681489,0.45058303238258346,0.83549197068265,0.4034407658990462,0.6873532652589198,FALSE
HIVEP1,2967.280590685141,0.3761140649958447,0.4357998320215206,0.863043161928689,0.3881137363721134,0.674771044105094,FALSE
E2F8,79.70469162606486,0.3757530498687118,0.7474374067267482,0.5027217616980754,0.6151599074288334,0.8224949208451992,FALSE
PDS5A,4905.289261900269,0.3754961288768492,0.4074685091099074,0.9215341074997424,0.3567716424670682,0.6512596603740705,FALSE
ANXA7,1537.7788353179353,0.37548810905657887,0.5868596303020925,0.6398261009422171,0.5222856617195852,0.7726115758642711,FALSE
TOP3A,1317.725789114256,0.37504220302332364,0.4243377484600573,0.8838294598686315,0.3767882807652946,0.6665312786416518,FALSE
RNF139,649.7069179453964,0.37457395810809496,0.4028782726515545,0.929744748067018,0.3525032596965483,0.6483422635428899,FALSE
C15orf61,210.26777211932924,0.3744221271000271,0.39606797468449073,0.945348149893445,0.3444811639397766,0.6425088340833321,FALSE
MRPS5,1595.5862966633258,0.3742985528732985,0.45511452473446934,0.82242717498783,0.41083381831926385,0.693974586802633,FALSE
NGDN,487.14546877807413,0.3741590402551615,0.39693676980185205,0.9426162268664074,0.34587723679876325,0.6433700529666478,FALSE
RBBP9,623.9700893333404,0.37361993327777054,0.544417325548501,0.6862748772760825,0.49253978814689,0.7504919959036618,FALSE
MRPL55,762.3683053318058,0.373591887453544,0.38339889797813537,0.9744208692922465,0.32984761158286297,0.6281001322395162,FALSE
GMPR2,942.8352857402683,0.3734230211431254,0.4668028607119362,0.7999587247036272,0.4237347117710112,0.7040100124516888,FALSE
DPM2,1280.8052265973824,0.37324130124128857,0.3604235989976012,1.0355628828948371,0.3004061156293451,0.6055061130504567,FALSE
ATXN7L3,2385.5297544002196,0.37315354011918506,0.2892720623041449,1.2899743485316117,0.19705956455195572,0.49455662675789624,FALSE
FRMD8,1658.2641129608373,0.37308227606748257,0.4198272820611366,0.8886565785716448,0.37418767386152324,0.6650746708999778,FALSE
C4orf32,92.15327053964536,0.3729667522185059,0.836264182829525,0.4459915417596407,0.6556033557240927,0.8444414133493906,FALSE
NCOA3,2249.862180313599,0.3728349316736119,0.432524273447941,0.8619977063980588,0.38868877997550866,0.67481786151727,FALSE
SUPT4H1,842.568881186421,0.37223040078141384,0.42517909542952803,0.8754673143216886,0.3813196872987158,0.6696533162275311,FALSE
ALAS1,1061.4305466993972,0.3712271371444059,0.4486168809759642,0.827492573032033,0.4079579299319546,0.6915339258384877,FALSE
PLCXD2,381.82913811970184,0.37116415710797124,0.6511481765207031,0.5700148913742219,0.5686675980814024,0.7973131639060103,FALSE
